Date,Price,Open,High,Low,Vol.,Change %
2017-03-16,"1,227.10","1,219.50","1,234.00","1,218.10",257.89K,2.20%
2017-03-17,"1,230.20","1,226.20","1,231.50","1,224.00",153.15K,0.25%
2017-03-20,"1,234.00","1,229.00","1,235.50","1,228.80",126.34K,0.31%
2017-03-21,"1,246.50","1,234.20","1,247.70","1,226.60",285.63K,1.01%
2017-03-22,"1,249.70","1,244.50","1,251.50","1,243.80",216.45K,0.26%
2017-03-23,"1,247.20","1,248.60","1,253.30","1,242.70",234.77K,-0.20%
2017-03-24,"1,248.50","1,245.00","1,251.90","1,240.70",207.57K,0.10%
2017-03-27,"1,255.70","1,245.50","1,261.00","1,245.50",237.27K,0.58%
2017-03-28,"1,255.60","1,253.50","1,258.40","1,247.30",243.24K,-0.01%
2017-03-29,"1,253.70","1,250.80","1,254.40","1,246.90",190.68K,-0.15%
2017-03-30,"1,248.00","1,256.10","1,256.50","1,244.20",217.66K,-0.45%
2017-03-31,"1,251.20","1,244.60","1,252.80","1,241.50",165.21K,0.26%
2017-04-03,"1,254.00","1,251.90","1,255.90","1,246.40",142.20K,0.22%
2017-04-04,"1,258.40","1,255.50","1,263.70","1,255.50",158.36K,0.35%
2017-04-05,"1,248.50","1,258.20","1,259.30","1,245.40",236.74K,-0.79%
2017-04-06,"1,253.30","1,257.60","1,260.90","1,251.30",165.26K,0.38%
2017-04-07,"1,257.30","1,253.90","1,273.30","1,252.40",375.41K,0.32%
2017-04-10,"1,253.90","1,255.60","1,258.90","1,248.20",182.20K,-0.27%
2017-04-11,"1,274.20","1,256.80","1,277.40","1,254.70",292.14K,1.62%
2017-04-12,"1,278.10","1,277.20","1,289.00","1,273.80",251.10K,0.31%
2017-04-13,"1,288.50","1,288.30","1,290.70","1,283.80",235.46K,0.81%
2017-04-17,"1,291.90","1,292.40","1,297.40","1,283.10",191.67K,0.26%
2017-04-18,"1,294.10","1,286.70","1,294.40","1,280.60",280.74K,0.17%
2017-04-19,"1,283.40","1,291.70","1,292.70","1,275.40",260.70K,-0.83%
2017-04-20,"1,283.80","1,282.20","1,285.20","1,278.00",245.62K,0.03%
2017-04-21,"1,289.10","1,283.30","1,290.10","1,280.00",229.60K,0.41%
2017-04-24,"1,277.50","1,280.00","1,280.00","1,266.00",302.84K,-0.90%
2017-04-25,"1,270.60","1,281.00","1,282.90","1,266.40",5.26K,-0.54%
2017-04-26,"1,267.60","1,268.50","1,276.00","1,264.30",5.32K,-0.24%
2017-04-27,"1,269.30","1,274.00","1,274.10","1,265.60",2.46K,0.13%
2017-04-28,"1,271.70","1,268.70","1,273.00","1,268.00",6.32K,0.19%
2017-05-01,"1,258.90","1,273.10","1,275.70","1,258.60",7.67K,-1.01%
2017-05-02,"1,260.50","1,261.00","1,262.00","1,256.10",8.94K,0.13%
2017-05-03,"1,252.00","1,260.60","1,260.90","1,240.00",9.16K,-0.67%
2017-05-04,"1,232.00","1,242.20","1,245.00","1,229.30",29.80K,-1.60%
2017-05-05,"1,230.40","1,232.60","1,238.80","1,229.80",25.27K,-0.13%
2017-05-08,"1,230.60","1,227.90","1,240.20","1,225.50",19.47K,0.02%
2017-05-09,"1,219.60","1,229.70","1,232.10","1,217.80",21.49K,-0.89%
2017-05-10,"1,222.40","1,225.30","1,229.00","1,221.00",17.23K,0.23%
2017-05-11,"1,227.70","1,221.90","1,231.20","1,221.20",55.14K,0.43%
2017-05-12,"1,231.10","1,228.50","1,235.10","1,227.90",22.14K,0.28%
2017-05-15,"1,233.40","1,231.30","1,240.60","1,230.30",9.80K,0.19%
2017-05-16,"1,239.70","1,234.40","1,242.40","1,233.60",19.19K,0.51%
2017-05-17,"1,262.00","1,240.10","1,264.70","1,240.00",24.73K,1.80%
2017-05-18,"1,256.10","1,264.50","1,268.30","1,249.10",25.73K,-0.47%
2017-05-19,"1,256.80","1,249.90","1,259.50","1,249.50",24.00K,0.06%
2017-05-22,"1,264.80","1,260.00","1,265.80","1,254.80",45.56K,0.64%
2017-05-23,"1,258.90","1,263.20","1,267.10","1,254.00",54.13K,-0.47%
