Date,Price,Open,High,Low,Vol.,Change %
2018-03-29,"1,333.30","1,335.30","1,338.50","1,331.60",4.28K,-0.21%
2018-04-02,"1,352.90","1,336.30","1,355.10","1,335.10",4.98K,1.47%
2018-04-03,"1,343.40","1,351.20","1,352.40","1,339.00",3.70K,-0.70%
2018-04-04,"1,346.30","1,342.50","1,358.30","1,341.60",4.50K,0.22%
2018-04-05,"1,334.70","1,342.60","1,344.30","1,332.30",3.52K,-0.86%
2018-04-06,"1,342.30","1,336.20","1,345.00","1,328.90",4.47K,0.57%
2018-04-09,"1,346.20","1,343.20","1,347.10","1,336.60",7.29K,0.29%
2018-04-10,"1,352.00","1,345.70","1,352.20","1,340.60",4.32K,0.43%
2018-04-11,"1,366.20","1,348.80","1,375.10","1,348.80",8.77K,1.05%
2018-04-12,"1,348.00","1,362.60","1,362.60","1,342.90",12.19K,-1.33%
2018-04-13,"1,354.10","1,345.30","1,356.30","1,341.70",8.20K,0.45%
2018-04-16,"1,356.90","1,353.70","1,359.70","1,349.40",2.91K,0.21%
2018-04-17,"1,355.70","1,354.90","1,357.50","1,346.80",3.10K,-0.09%
2018-04-18,"1,359.70","1,356.40","1,365.10","1,351.80",4.16K,0.30%
2018-04-19,"1,355.00","1,358.40","1,363.90","1,349.80",2.99K,-0.35%
2018-04-20,"1,344.50","1,353.00","1,353.00","1,343.30",11.02K,-0.77%
2018-04-23,"1,330.20","1,343.00","1,343.40","1,329.90",8.04K,-1.06%
2018-04-24,"1,339.20","1,333.90","1,340.50","1,330.00",5.10K,0.68%
2018-04-25,"1,329.00","1,337.80","1,339.90","1,326.40",8.12K,-0.76%
2018-04-26,"1,324.20","1,330.60","1,334.00","1,322.70",4.29K,-0.36%
2018-04-27,"1,329.70","1,324.10","1,332.60","1,322.30",5.21K,0.42%
2018-04-30,"1,325.30","1,330.60","1,332.00","1,317.00",25.61K,-0.33%
2018-05-01,"1,313.00","1,322.10","1,322.80","1,308.60",12.15K,-0.93%
2018-05-02,"1,311.80","1,310.60","1,320.90","1,310.60",27.66K,-0.09%
2018-05-03,"1,319.00","1,312.00","1,325.20","1,312.00",12.61K,0.55%
2018-05-04,"1,321.00","1,318.90","1,322.70","1,314.90",13.28K,0.15%
2018-05-07,"1,320.40","1,321.90","1,326.40","1,316.90",19.44K,-0.05%
2018-05-08,"1,320.00","1,321.10","1,324.70","1,312.40",52.68K,-0.03%
2018-05-09,"1,319.30","1,321.30","1,324.10","1,310.90",39.31K,-0.05%
2018-05-10,"1,328.60","1,319.10","1,329.50","1,317.00",20.63K,0.70%
2018-05-11,"1,327.00","1,327.90","1,332.40","1,323.80",25.71K,-0.12%
2018-05-14,"1,324.30","1,324.50","1,328.70","1,319.00",30.88K,-0.20%
2018-05-15,"1,296.20","1,318.90","1,320.80","1,294.10",39.69K,-2.12%
2018-05-16,"1,297.40","1,295.50","1,302.30","1,291.80",22.14K,0.09%
2018-05-17,"1,295.20","1,295.90","1,299.60","1,290.00",20.02K,-0.17%
2018-05-18,"1,296.90","1,295.90","1,299.10","1,291.00",26.61K,0.13%
2018-05-21,"1,296.40","1,295.60","1,298.40","1,286.80",53.90K,-0.04%
2018-05-22,"1,297.40","1,298.20","1,301.30","1,292.80",47.66K,0.08%
2018-05-23,"1,294.80","1,295.90","1,303.80","1,292.00",67.84K,-0.20%
2018-05-24,"1,309.80","1,298.00","1,311.80","1,297.40",101.75K,1.16%
2018-05-25,"1,309.00","1,309.00","1,312.60","1,304.60",96.67K,-0.06%
2018-05-28,"1,299.00","1,297.20","1,306.10","1,291.40",386.33K,-0.76%
2018-05-29,"1,304.10","1,305.70","1,311.30","1,296.60",362.21K,0.39%
2018-05-30,"1,312.70","1,313.00","1,314.80","1,306.50",1.97K,0.66%
2018-05-31,"1,310.80","1,314.00","1,317.00","1,308.00",1.86K,-0.14%
2018-06-01,"1,305.40","1,309.60","1,310.10","1,299.40",2.32K,-0.41%
2018-06-04,"1,303.40","1,303.90","1,308.20","1,300.00",1.45K,-0.15%
2018-06-05,"1,308.30","1,302.60","1,310.60","1,299.90",1.48K,0.38%
2018-06-06,"1,307.40","1,307.10","1,312.00","1,304.00",3.73K,-0.07%
2018-06-07,"1,308.90","1,306.80","1,313.20","1,305.00",3.77K,0.11%
2018-06-08,"1,308.80","1,307.30","1,310.40","1,302.10",2.86K,-0.01%
2018-06-11,"1,309.30","1,309.60","1,312.70","1,304.00",1.66K,0.04%
2018-06-12,"1,305.50","1,309.50","1,309.50","1,302.90",0.90K,-0.29%
2018-06-13,"1,307.40","1,304.80","1,310.30","1,300.70",2.44K,0.15%
2018-06-14,"1,314.40","1,309.00","1,318.90","1,307.30",1.79K,0.54%
2018-06-15,"1,284.30","1,310.60","1,312.00","1,284.00",6.06K,-2.29%
2018-06-18,"1,286.00","1,287.00","1,290.70","1,285.60",2.00K,0.13%
2018-06-19,"1,284.40","1,287.80","1,292.40","1,278.60",1.89K,-0.12%
2018-06-20,"1,280.30","1,281.30","1,283.70","1,275.60",5.70K,-0.32%
2018-06-21,"1,276.30","1,275.80","1,277.70","1,268.50",3.15K,-0.31%
2018-06-22,"1,276.40","1,274.50","1,278.20","1,274.50",2.66K,0.01%
2018-06-25,"1,274.70","1,277.70","1,280.00","1,272.20",1.66K,-0.13%
