Date,Price,Open,High,Low,Vol.,Change %
2020-01-01,"7,199.8","7,196.4","7,259.4","7,180.0",420.28K,0.05%
2020-01-02,"6,967.0","7,199.7","7,209.6","6,901.4",632.78K,-3.23%
2020-01-03,"7,343.1","6,967.1","7,402.9","6,884.1",936.29K,5.40%
2020-01-04,"7,376.8","7,345.1","7,433.1","7,291.4",523.91K,0.46%
2020-01-05,"7,372.5","7,376.8","7,501.0","7,345.6",628.14K,-0.06%
2020-01-06,"7,759.1","7,372.6","7,783.1","7,366.7",786.75K,5.24%
2020-01-07,"8,155.7","7,759.1","8,182.0","7,754.1",1.01M,5.11%
2020-01-08,"8,059.6","8,154.2","8,436.4","7,900.8",1.19M,-1.18%
2020-01-09,"7,842.4","8,060.0","8,065.9","7,779.2",786.50K,-2.70%
2020-01-10,"8,187.1","7,842.5","8,187.4","7,697.7",1.05M,4.40%
2020-01-11,"8,024.1","8,187.8","8,262.9","8,008.4",776.75K,-1.99%
2020-01-12,"8,187.6","8,023.3","8,189.9","7,973.1",595.22K,2.04%
2020-01-13,"8,111.4","8,188.3","8,196.7","8,068.4",610.66K,-0.93%
2020-01-14,"8,829.2","8,111.2","8,898.7","8,111.2",1.48M,8.85%
2020-01-15,"8,818.3","8,827.9","8,904.0","8,615.5",1.17M,-0.12%
2020-01-16,"8,726.9","8,818.1","8,850.0","8,605.8",748.32K,-1.04%
2020-01-17,"8,913.1","8,726.7","9,005.1","8,675.9",794.11K,2.13%
2020-01-18,"8,916.3","8,913.0","8,982.3","8,814.6",627.74K,0.04%
2020-01-19,"8,706.2","8,916.3","9,183.7","8,552.8",975.01K,-2.36%
2020-01-20,"8,641.9","8,705.7","8,740.1","8,539.2",599.06K,-0.74%
2020-01-21,"8,732.6","8,642.0","8,770.3","8,524.0",540.20K,1.05%
2020-01-22,"8,678.5","8,733.0","8,805.4","8,610.8",509.06K,-0.62%
2020-01-23,"8,405.1","8,678.5","8,687.3","8,309.6",722.67K,-3.15%
2020-01-24,"8,439.9","8,404.9","8,522.0","8,242.6",617.02K,0.41%
2020-01-25,"8,341.6","8,439.9","8,447.6","8,277.2",444.00K,-1.17%
2020-01-26,"8,607.8","8,341.6","8,607.8","8,304.9",468.34K,3.19%
2020-01-27,"8,866.6","8,608.1","8,983.1","8,585.6",706.45K,3.01%
2020-01-28,"9,377.3","8,866.6","9,389.5","8,866.6",954.20K,5.76%
2020-01-29,"9,298.9","9,377.3","9,428.7","9,250.9",749.88K,-0.84%
2020-01-30,"9,507.3","9,299.1","9,569.0","9,209.2",765.21K,2.24%
2020-01-31,"9,349.1","9,508.3","9,525.0","9,222.3",633.37K,-1.66%
2020-02-01,"9,381.6","9,349.3","9,458.8","9,301.5",458.42K,0.35%
2020-02-02,"9,334.9","9,381.5","9,465.4","9,183.1",683.37K,-0.50%
2020-02-03,"9,296.6","9,334.6","9,582.8","9,243.1",701.39K,-0.41%
2020-02-04,"9,193.9","9,296.5","9,347.5","9,193.9",651.68K,-1.10%
2020-02-05,"9,611.8","9,194.1","9,726.8","9,179.9",771.46K,4.54%
2020-02-06,"9,772.0","9,611.8","9,854.9","9,536.1",778.67K,1.67%
2020-02-07,"9,818.6","9,771.9","9,872.5","9,738.7",608.96K,0.48%
2020-02-08,"9,895.5","9,817.3","9,931.2","9,673.2",551.31K,0.78%
2020-02-09,"10,151.5","9,895.4","10,157.1","9,882.7",617.35K,2.59%
2020-02-10,"9,854.1","10,151.5","10,181.7","9,774.8",781.22K,-2.93%
2020-02-11,"10,229.5","9,854.0","10,314.1","9,725.1",791.28K,3.81%
2020-02-12,"10,317.7","10,229.3","10,435.6","10,229.3",803.25K,0.86%
2020-02-13,"10,235.1","10,321.9","10,482.6","10,116.9",940.30K,-0.80%
2020-02-14,"10,333.0","10,235.5","10,372.4","10,125.2",732.51K,0.96%
2020-02-15,"9,907.7","10,336.0","10,369.8","9,831.7",808.81K,-4.12%
2020-02-16,"9,932.3","9,907.4","10,056.4","9,654.9",808.91K,0.25%
2020-02-17,"9,701.4","9,931.7","9,951.5","9,468.9",961.88K,-2.32%
2020-02-18,"10,158.4","9,701.5","10,230.1","9,601.6",945.91K,4.71%
2020-02-19,"9,609.4","10,158.6","10,230.9","9,424.3",905.95K,-5.40%
2020-02-20,"9,602.4","9,611.9","9,681.4","9,448.9",870.80K,-0.07%
2020-02-21,"9,684.5","9,602.2","9,747.1","9,574.5",716.61K,0.85%
2020-02-22,"9,655.7","9,684.5","9,706.5","9,569.8",589.88K,-0.30%
2020-02-23,"9,942.7","9,655.6","9,965.6","9,653.4",775.88K,2.97%
2020-02-24,"9,662.7","9,943.2","9,981.0","9,507.0",980.00K,-2.82%
2020-02-25,"9,317.2","9,662.6","9,672.3","9,269.8",937.97K,-3.57%
2020-02-26,"8,800.3","9,317.1","9,368.1","8,672.0",1.32M,-5.55%
2020-02-27,"8,818.6","8,800.1","8,968.3","8,538.5",1.13M,0.21%
2020-02-28,"8,697.5","8,820.1","8,898.7","8,451.9",1.08M,-1.37%
2020-02-29,"8,543.7","8,697.1","8,793.7","8,539.8",683.44K,-1.77%
2020-03-01,"8,540.0","8,543.8","8,737.2","8,437.2",784.05K,-0.04%
2020-03-02,"8,904.8","8,537.5","8,961.8","8,503.1",1.02M,4.27%
2020-03-03,"8,761.4","8,906.1","8,911.7","8,669.3",1.01M,-1.61%
2020-03-04,"8,757.9","8,761.3","8,840.3","8,679.7",759.69K,-0.04%
2020-03-05,"9,060.3","8,757.9","9,147.3","8,751.5",950.76K,3.45%
2020-03-06,"9,134.8","9,060.6","9,165.2","9,004.9",1.04M,0.82%
2020-03-07,"8,887.8","9,134.2","9,180.8","8,848.7",750.65K,-2.70%
2020-03-08,"8,034.1","8,887.8","8,888.0","8,015.3",1.11M,-9.61%
2020-03-09,"7,933.0","8,035.8","8,158.8","7,648.7",1.54M,-1.26%
2020-03-10,"7,891.2","7,933.0","8,145.5","7,740.2",1.20M,-0.53%
2020-03-11,"7,935.1","7,892.1","7,976.5","7,606.0",1.10M,0.56%
2020-03-12,"4,826.0","7,935.2","7,963.1","4,546.6",3.22M,-39.18%
2020-03-13,"5,584.3","4,815.2","5,934.3","3,869.5",4.17M,15.71%
2020-03-14,"5,182.7","5,589.4","5,634.9","5,072.2",1.69M,-7.19%
2020-03-15,"5,366.3","5,182.9","5,863.3","5,120.6",1.61M,3.54%
2020-03-16,"5,030.0","5,366.4","5,369.3","4,477.7",2.55M,-6.27%
2020-03-17,"5,261.1","5,030.2","5,432.8","4,946.5",1.89M,4.59%
2020-03-18,"5,361.4","5,260.7","5,373.1","5,020.9",1.80M,1.91%
2020-03-19,"6,172.0","5,359.2","6,379.5","5,256.0",2.18M,15.12%
2020-03-20,"6,205.3","6,171.6","6,858.1","5,748.2",2.22M,0.54%
2020-03-21,"6,186.2","6,205.6","6,438.3","5,887.0",1.64M,-0.31%
2020-03-22,"5,822.1","6,186.9","6,394.4","5,771.2",1.48M,-5.89%
2020-03-23,"6,468.9","5,822.0","6,564.7","5,710.8",1.88M,11.11%
2020-03-24,"6,744.6","6,468.8","6,814.2","6,380.8",1.73M,4.26%
2020-03-25,"6,678.9","6,744.8","6,930.2","6,474.6",1.52M,-0.97%
2020-03-26,"6,725.1","6,677.9","6,772.9","6,541.7",1.18M,0.69%
2020-03-27,"6,373.4","6,725.5","6,813.7","6,322.3",1.16M,-5.23%
2020-03-28,"6,233.7","6,373.4","6,374.3","6,046.5",1.26M,-2.19%
2020-03-29,"5,890.4","6,233.2","6,258.8","5,889.3",916.17K,-5.51%
2020-03-30,"6,391.0","5,890.4","6,576.5","5,872.5",1.43M,8.50%
2020-03-31,"6,412.5","6,391.1","6,513.1","6,346.3",1.05M,0.34%
2020-04-01,"6,638.5","6,412.4","6,661.3","6,157.4",1.40M,3.52%
2020-04-02,"6,800.5","6,638.8","7,182.7","6,567.9",1.74M,2.44%
2020-04-03,"6,735.9","6,799.9","7,026.3","6,623.6",1.35M,-0.95%
2020-04-04,"6,857.4","6,735.9","6,958.6","6,679.1",1.05M,1.80%
2020-04-05,"6,772.7","6,857.5","6,889.4","6,686.0",842.33K,-1.23%
2020-04-06,"7,332.3","6,772.8","7,335.0","6,770.1",1.53M,8.26%
2020-04-07,"7,185.2","7,332.3","7,440.3","7,101.7",1.32M,-2.01%
2020-04-08,"7,361.2","7,185.6","7,396.1","7,153.1",983.94K,2.45%
2020-04-09,"7,289.0","7,361.1","7,361.1","7,140.3",963.55K,-0.98%
2020-04-10,"6,863.1","7,289.0","7,294.4","6,756.1",1.37M,-5.84%
2020-04-11,"6,867.8","6,862.7","6,931.4","6,765.1",845.58K,0.07%
2020-04-12,"6,917.6","6,867.9","7,158.8","6,785.1",1.10M,0.73%
2020-04-13,"6,841.3","6,918.1","6,920.3","6,618.5",1.25M,-1.10%
2020-04-14,"6,850.9","6,841.8","6,970.8","6,768.6",999.53K,0.14%
2020-04-15,"6,629.1","6,851.3","6,929.5","6,615.9",1.00M,-3.24%
2020-04-16,"7,085.6","6,629.1","7,159.7","6,520.5",1.54M,6.89%
2020-04-17,"7,035.8","7,085.5","7,142.8","7,005.8",810.10K,-0.70%
2020-04-18,"7,230.8","7,035.9","7,259.4","7,031.5",796.45K,2.77%
2020-04-19,"7,122.9","7,230.9","7,238.0","7,079.1",5.93M,-1.49%
2020-04-20,"6,833.5","7,122.9","7,207.5","6,771.2",1.26M,-4.06%
2020-04-21,"6,842.5","6,833.4","6,919.3","6,774.3",892.57K,0.13%
2020-04-22,"7,112.9","6,842.5","7,137.4","6,821.8",914.18K,3.95%
2020-04-23,"7,488.5","7,112.8","7,655.4","7,036.5",1.34M,5.28%
2020-04-24,"7,503.8","7,491.3","7,583.5","7,423.5",951.95K,0.20%
2020-04-25,"7,540.4","7,503.9","7,684.6","7,451.0",861.93K,0.49%
2020-04-26,"7,678.9","7,540.4","7,679.4","7,520.5",921.59K,1.84%
2020-04-27,"7,766.0","7,679.4","7,768.5","7,637.7",980.50K,1.13%
2020-04-28,"7,746.9","7,766.0","7,770.1","7,655.3",808.09K,-0.25%
2020-04-29,"8,770.9","7,746.7","8,918.5","7,729.7",1.83M,13.22%
2020-04-30,"8,629.0","8,770.6","9,437.5","8,425.5",2.04M,-1.62%
2020-05-01,"8,821.6","8,628.6","9,040.3","8,621.0",1.11M,2.23%
2020-05-02,"8,966.3","8,821.6","8,986.2","8,771.3",890.34K,1.64%
2020-05-03,"8,885.5","8,966.2","9,169.9","8,742.2",1.15M,-0.90%
2020-05-04,"8,874.7","8,885.5","8,945.5","8,553.2",1.12M,-0.12%
2020-05-05,"9,001.0","8,874.2","9,078.7","8,800.4",1.05M,1.42%
2020-05-06,"9,151.4","9,000.6","9,373.7","8,923.6",1.62M,1.67%
2020-05-07,"9,979.8","9,152.7","10,033.0","9,064.8",1.91M,9.05%
2020-05-08,"9,806.2","9,980.1","10,018.2","9,731.4",1.42M,-1.74%
2020-05-09,"9,554.6","9,806.0","9,910.5","9,533.6",1.49M,-2.57%
2020-05-10,"8,738.8","9,553.9","9,569.4","8,259.3",2.47M,-8.54%
2020-05-11,"8,579.8","8,737.6","9,129.6","8,235.6",2.29M,-1.82%
2020-05-12,"8,813.8","8,569.8","8,964.5","8,542.8",1.35M,2.73%
