Date,Price,Open,High,Low,Vol.,Change %
2020-01-02,"1,534.30","1,527.50","1,540.10","1,526.00",19.19K,0.33%
2020-01-03,"1,558.70","1,537.90","1,562.20","1,536.70",19.72K,1.59%
2020-01-06,"1,575.10","1,572.20","1,595.70","1,568.90",48.64K,1.05%
2020-01-07,"1,580.50","1,573.10","1,585.30","1,563.30",45.63K,0.34%
2020-01-08,"1,566.50","1,583.30","1,619.60","1,559.80",55.74K,-0.89%
2020-01-09,"1,560.60","1,564.30","1,568.30","1,547.40",35.81K,-0.38%
2020-01-10,"1,566.40","1,560.10","1,570.30","1,553.00",47.51K,0.37%
2020-01-13,"1,557.00","1,569.50","1,569.50","1,553.40",82.13K,-0.60%
2020-01-14,"1,550.90","1,555.40","1,555.60","1,542.80",43.90K,-0.39%
2020-01-15,"1,560.10","1,552.90","1,564.80","1,552.90",44.84K,0.59%
2020-01-16,"1,556.50","1,562.60","1,564.40","1,554.10",32.58K,-0.23%
2020-01-17,"1,566.50","1,558.30","1,567.50","1,555.50",37.82K,0.64%
2020-01-20,"1,557.90","1,557.30","1,568.80","1,546.00",462.62K,-0.55%
2020-01-21,"1,564.10","1,564.20","1,574.80","1,552.10",68.33K,0.40%
2020-01-22,"1,562.90","1,564.40","1,565.70","1,556.30",76.26K,-0.08%
2020-01-23,"1,571.60","1,564.70","1,573.70","1,557.50",69.90K,0.56%
2020-01-24,"1,578.20","1,568.40","1,581.60","1,562.10",124.27K,0.42%
2020-01-27,"1,583.70","1,586.10","1,594.70","1,581.60",138.92K,0.35%
2020-01-28,"1,575.80","1,587.10","1,588.50","1,570.40",194.66K,-0.50%
2020-01-29,"1,576.00","1,572.00","1,583.00","1,567.90",238.02K,0.01%
2020-01-30,"1,595.10","1,587.30","1,596.50","1,583.10",13.36K,1.21%
2020-01-31,"1,593.80","1,584.90","1,601.20","1,581.20",6.87K,-0.08%
2020-02-03,"1,588.30","1,603.60","1,603.90","1,579.10",3.91K,-0.35%
2020-02-04,"1,561.40","1,588.40","1,589.60","1,558.70",6.79K,-1.69%
2020-02-05,"1,568.70","1,563.40","1,571.70","1,556.90",10.77K,0.47%
2020-02-06,"1,575.80","1,564.50","1,577.60","1,562.00",3.20K,0.45%
2020-02-07,"1,579.20","1,575.70","1,583.30","1,570.00",5.77K,0.22%
2020-02-10,"1,585.40","1,581.60","1,586.30","1,577.80",4.94K,0.39%
2020-02-11,"1,575.90","1,581.60","1,583.10","1,570.90",12.95K,-0.60%
2020-02-12,"1,577.30","1,576.70","1,579.20","1,570.50",17.80K,0.09%
2020-02-13,"1,584.50","1,574.60","1,587.00","1,574.50",4.72K,0.46%
2020-02-14,"1,591.90","1,585.30","1,593.60","1,581.90",16.79K,0.47%
2020-02-17,"1,603.60","1,585.10","1,608.20","1,581.80",414.24K,0.73%
2020-02-18,"1,609.30","1,590.40","1,613.80","1,587.50",17.65K,0.36%
2020-02-19,"1,617.50","1,610.20","1,621.50","1,608.10",6.16K,0.51%
2020-02-20,"1,626.20","1,620.00","1,632.00","1,612.60",15.70K,0.54%
2020-02-21,"1,654.60","1,628.30","1,657.40","1,627.60",19.99K,1.75%
2020-02-24,"1,682.40","1,660.30","1,697.00","1,658.80",40.17K,1.68%
2020-02-25,"1,655.80","1,670.00","1,670.00","1,632.60",23.32K,-1.58%
2020-02-26,"1,648.90","1,643.00","1,662.70","1,632.40",20.86K,-0.42%
2020-02-27,"1,648.20","1,649.90","1,668.20","1,642.40",22.88K,-0.04%
2020-02-28,"1,571.80","1,651.70","1,656.10","1,569.10",65.34K,-4.64%
2020-03-02,"1,599.50","1,598.40","1,616.50","1,581.20",23.69K,1.76%
2020-03-03,"1,648.90","1,594.30","1,654.70","1,594.30",34.66K,3.09%
2020-03-04,"1,647.20","1,643.00","1,658.60","1,637.40",28.13K,-0.10%
2020-03-05,"1,672.00","1,642.70","1,679.20","1,641.50",27.67K,1.51%
2020-03-06,"1,676.10","1,676.90","1,696.50","1,646.20",71.20K,0.25%
2020-03-09,"1,678.60","1,694.50","1,707.80","1,660.80",54.57K,0.15%
2020-03-10,"1,663.30","1,683.40","1,683.50","1,644.50",52.24K,-0.91%
2020-03-11,"1,645.40","1,652.40","1,674.70","1,635.70",85.84K,-1.08%
2020-03-12,"1,593.20","1,638.70","1,654.00","1,563.40",94.80K,-3.17%
2020-03-13,"1,519.50","1,581.00","1,600.40","1,507.00",75.40K,-4.63%
2020-03-16,"1,488.60","1,564.80","1,576.00","1,453.00",73.79K,-2.03%
2020-03-17,"1,528.10","1,505.80","1,556.40","1,468.60",73.57K,2.65%
2020-03-18,"1,480.60","1,533.70","1,548.90","1,476.00",73.22K,-3.11%
2020-03-19,"1,482.30","1,489.70","1,505.20","1,462.80",64.61K,0.11%
2020-03-20,"1,488.10","1,474.70","1,522.50","1,460.90",46.27K,0.39%
2020-03-23,"1,572.70","1,508.40","1,574.80","1,489.40",98.80K,5.69%
2020-03-24,"1,663.30","1,566.30","1,693.50","1,566.30",175.51K,5.76%
2020-03-25,"1,634.30","1,665.50","1,698.00","1,609.00",107.99K,-1.74%
2020-03-26,"1,660.30","1,642.20","1,677.20","1,612.00",145.43K,1.59%
2020-03-27,"1,654.10","1,653.40","1,661.00","1,630.70",159.26K,-0.37%
2020-03-30,"1,643.50","1,663.10","1,674.00","1,632.30",6.14K,-0.64%
2020-03-31,"1,596.60","1,640.40","1,641.60","1,589.30",6.07K,-2.85%
2020-04-01,"1,591.70","1,590.70","1,611.90","1,580.00",5.77K,-0.31%
2020-04-02,"1,637.70","1,602.90","1,645.20","1,596.50",7.55K,2.89%
2020-04-03,"1,645.50","1,635.00","1,652.60","1,624.30",4.33K,0.48%
2020-04-06,"1,692.20","1,648.10","1,712.90","1,638.20",9.30K,2.84%
2020-04-07,"1,682.80","1,705.00","1,739.70","1,672.90",7.22K,-0.56%
2020-04-08,"1,683.80","1,679.00","1,694.60","1,671.20",4.76K,0.06%
2020-04-09,"1,752.10","1,678.20","1,753.50","1,678.20",10.13K,4.06%
2020-04-13,"1,760.90","1,739.30","1,771.30","1,724.40",5.10K,0.50%
2020-04-14,"1,769.40","1,762.40","1,789.00","1,748.60",9.46K,0.48%
2020-04-15,"1,741.20","1,754.20","1,760.10","1,732.80",5.81K,-1.59%
