Date,Price,Open,High,Low,Vol.,Change %
2023-01-03,"1,862.10","1,847.20","1,872.20","1,847.20",13.45K,1.08%
2023-01-04,"1,875.00","1,861.40","1,887.00","1,858.30",11.66K,0.69%
2023-01-05,"1,856.70","1,876.00","1,880.00","1,846.10",16.26K,-0.98%
2023-01-06,"1,885.90","1,851.90","1,891.10","1,851.60",16.60K,1.57%
2023-01-09,"1,894.20","1,886.40","1,902.40","1,886.40",52.32K,0.44%
2023-01-10,"1,893.00","1,891.70","1,901.40","1,889.00",46.44K,-0.06%
2023-01-11,"1,895.50","1,897.80","1,907.10","1,887.50",65.91K,0.13%
2023-01-12,"1,915.50","1,895.20","1,922.80","1,891.00",62.08K,1.06%
2023-01-13,"1,938.50","1,916.00","1,942.10","1,911.90",57.03K,1.20%
2023-01-16,"1,909.90","1,923.80","1,931.80","1,906.20",268.37K,-1.48%
2023-01-17,"1,926.70","1,939.90","1,948.30","1,923.20",40.45K,0.88%
2023-01-18,"1,923.80","1,928.00","1,946.40","1,915.50",29.26K,-0.15%
2023-01-19,"1,940.60","1,924.50","1,953.60","1,918.70",49.16K,0.87%
2023-01-20,"1,944.90","1,949.80","1,955.50","1,938.80",45.79K,0.22%
2023-01-23,"1,945.40","1,948.00","1,953.30","1,929.20",57.33K,0.03%
2023-01-24,"1,952.20","1,948.90","1,960.50","1,935.00",83.91K,0.35%
2023-01-25,"1,959.40","1,955.20","1,966.30","1,937.50",86.71K,0.37%
2023-01-26,"1,946.70","1,965.00","1,966.50","1,935.10",129.95K,-0.65%
2023-01-27,"1,945.60","1,945.80","1,952.10","1,933.00",144.50K,-0.06%
2023-01-30,"1,956.00","1,962.00","1,966.60","1,952.90",3.66K,0.53%
2023-01-31,"1,962.20","1,955.30","1,963.60","1,932.50",5.96K,0.32%
2023-02-01,"1,959.70","1,959.70","1,987.70","1,953.20",4.12K,-0.13%
2023-02-02,"1,947.60","1,985.40","1,992.10","1,942.50",4.75K,-0.62%
2023-02-03,"1,893.30","1,943.30","1,949.10","1,891.30",6.37K,-2.79%
2023-02-06,"1,896.10","1,890.00","1,910.30","1,889.70",3.62K,0.15%
2023-02-07,"1,901.50","1,897.00","1,913.40","1,894.40",4.53K,0.28%
2023-02-08,"1,907.70","1,901.80","1,915.40","1,898.50",6.45K,0.33%
2023-02-09,"1,895.30","1,902.70","1,919.00","1,887.40",5.50K,-0.65%
2023-02-10,"1,891.20","1,890.40","1,899.90","1,880.40",6.50K,-0.22%
2023-02-13,"1,880.10","1,892.50","1,893.00","1,877.60",5.60K,-0.59%
2023-02-14,"1,882.10","1,881.20","1,898.00","1,869.60",4.11K,0.11%
2023-02-15,"1,862.00","1,881.60","1,887.00","1,856.40",5.08K,-1.07%
2023-02-16,"1,868.60","1,863.50","1,871.40","1,853.50",3.75K,0.35%
2023-02-17,"1,866.90","1,862.00","1,869.60","1,844.60",5.98K,-0.09%
2023-02-20,"1,842.50","1,850.50","1,856.40","1,839.00",210.17K,-1.31%
2023-02-21,"1,859.20","1,867.10","1,873.00","1,855.70",6.78K,0.91%
2023-02-22,"1,858.30","1,860.60","1,871.40","1,848.60",5.86K,-0.05%
2023-02-23,"1,843.60","1,851.30","1,857.90","1,841.60",5.17K,-0.79%
2023-02-24,"1,833.90","1,845.10","1,851.70","1,832.70",5.71K,-0.53%
2023-02-27,"1,841.60","1,834.00","1,843.60","1,829.00",10.69K,0.42%
2023-02-28,"1,853.20","1,841.00","1,855.00","1,827.60",11.05K,0.63%
2023-03-01,"1,862.10","1,850.50","1,869.00","1,846.40",11.49K,0.48%
2023-03-02,"1,857.30","1,860.10","1,861.90","1,852.70",11.17K,-0.26%
2023-03-03,"1,871.40","1,858.90","1,880.80","1,858.90",13.79K,0.76%
2023-03-06,"1,871.40","1,877.70","1,880.90","1,867.50",14.99K,0.00%
2023-03-07,"1,836.80","1,868.60","1,873.40","1,834.20",43.01K,-1.85%
2023-03-08,"1,835.60","1,834.70","1,845.30","1,830.20",62.61K,-0.07%
2023-03-09,"1,851.50","1,834.90","1,856.10","1,832.70",73.56K,0.87%
2023-03-10,"1,884.00","1,852.10","1,891.10","1,847.00",61.68K,1.76%
2023-03-13,"1,933.00","1,893.80","1,935.60","1,892.50",106.59K,2.60%
2023-03-14,"1,927.40","1,935.80","1,935.80","1,916.40",33.13K,-0.29%
2023-03-15,"1,948.10","1,924.50","1,959.10","1,906.00",84.73K,1.07%
